year,month,day,30min,location,incomingShortwaveRadiation,H_orig,LE_orig
2024,6,13,19,1,520.5333333333333,187.7486,89.694
2023,7,14,31,1,586.8333333333334,179.3115,217.69
2023,4,27,47,0,-3.122666666666666,-28.53593,14.029000000000002
2023,5,24,17,0,458.343,84.86386999999999,73.293
2024,4,9,41,0,-2.8943333333333334,-40.3464,25.732
2023,7,13,15,1,470.76666666666665,90.08815,59.181999999999995
2023,4,25,36,0,98.063,-35.00869,51.17
2023,7,26,47,1,-2.253,-61.09288000000001,2.2283
2024,6,28,20,1,704.8333333333334,147.5511,204.96
2023,7,16,30,0,716.8626666666668,116.5938,223.92
2023,7,14,6,1,-2.2916666666666665,-71.35931,20.24
2023,6,30,3,1,-1.542,-36.137809999999995,0.35096
2024,6,16,27,1,433.1333333333334,91.48742,93.806
2023,6,25,34,1,215.9,84.85573000000001,83.488
2023,7,3,47,1,-1.1656666666666666,-36.915420000000005,6.6078
2024,5,18,27,0,415.703,45.43734,66.456
2023,6,3,12,1,255.03333333333333,44.71694,45.795
2023,7,23,39,0,30.633666666666667,-19.32641,35.021
